[0.000000] (-) TimerEvent: {}
[0.000242] (-) JobUnselected: {'identifier': 'launch_pal'}
[0.000276] (-) JobUnselected: {'identifier': 'pal_gazebo_worlds'}
[0.000300] (-) JobUnselected: {'identifier': 'pal_gripper'}
[0.000321] (-) JobUnselected: {'identifier': 'pal_gripper_controller_configuration'}
[0.000342] (-) JobUnselected: {'identifier': 'pal_gripper_description'}
[0.000362] (-) JobUnselected: {'identifier': 'pal_gripper_simulation'}
[0.000382] (-) JobUnselected: {'identifier': 'pal_hey5'}
[0.000401] (-) JobUnselected: {'identifier': 'pal_hey5_controller_configuration'}
[0.000420] (-) JobUnselected: {'identifier': 'pal_hey5_description'}
[0.000439] (-) JobUnselected: {'identifier': 'pal_navigation_cfg'}
[0.000457] (-) JobUnselected: {'identifier': 'pal_navigation_cfg_bringup'}
[0.000474] (-) JobUnselected: {'identifier': 'pal_navigation_cfg_params'}
[0.000491] (-) JobUnselected: {'identifier': 'pal_robotiq_controller_configuration'}
[0.000509] (-) JobUnselected: {'identifier': 'pal_robotiq_description'}
[0.000527] (-) JobUnselected: {'identifier': 'pal_robotiq_gripper'}
[0.000544] (-) JobUnselected: {'identifier': 'pal_urdf_utils'}
[0.000561] (-) JobUnselected: {'identifier': 'play_motion2'}
[0.000579] (-) JobUnselected: {'identifier': 'play_motion2_msgs'}
[0.000597] (-) JobUnselected: {'identifier': 'pmb2_2dnav'}
[0.000612] (-) JobUnselected: {'identifier': 'pmb2_bringup'}
[0.000627] (-) JobUnselected: {'identifier': 'pmb2_controller_configuration'}
[0.000641] (-) JobUnselected: {'identifier': 'pmb2_description'}
[0.000656] (-) JobUnselected: {'identifier': 'pmb2_laser_sensors'}
[0.000670] (-) JobUnselected: {'identifier': 'pmb2_navigation'}
[0.000685] (-) JobUnselected: {'identifier': 'pmb2_rgbd_sensors'}
[0.000699] (-) JobUnselected: {'identifier': 'pmb2_robot'}
[0.000726] (-) JobUnselected: {'identifier': 'tests'}
[0.000741] (-) JobUnselected: {'identifier': 'tiago_2dnav'}
[0.000755] (-) JobUnselected: {'identifier': 'tiago_bringup'}
[0.000776] (-) JobUnselected: {'identifier': 'tiago_controller_configuration'}
[0.000803] (-) JobUnselected: {'identifier': 'tiago_description'}
[0.000826] (-) JobUnselected: {'identifier': 'tiago_gazebo'}
[0.000843] (-) JobUnselected: {'identifier': 'tiago_laser_sensors'}
[0.000858] (-) JobUnselected: {'identifier': 'tiago_moveit_config'}
[0.000872] (-) JobUnselected: {'identifier': 'tiago_navigation'}
[0.000884] (-) JobUnselected: {'identifier': 'tiago_rgbd_sensors'}
[0.000898] (-) JobUnselected: {'identifier': 'tiago_robot'}
[0.000917] (-) JobUnselected: {'identifier': 'tiago_simulation'}
[0.000940] (-) JobUnselected: {'identifier': 'urdf_test'}
[0.000963] (-) EventReactorShutdown: {}
